"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
897073,"vegetables","tomato","tomato cherry","SN","II","4","tch","kilogram",2405,5,"R TCH 25-30DOON 4KG FK410 PKB 5SN"
897074,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,7,"R TCH 30-35DOON 4KG FK410 PKB 7SN"
897075,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,6,"R TCH 30-35DOON 4KG FK410 PKB 6SN"
897076,"vegetables","tomato","tomato cherry","SN","II","4","tch","kilogram",2405,5,"R TCH 30-35DOON 4KG FK410 PKB 5SN"
897077,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,7,"R TCH 20-25GEN 4KG FK410 PKB 7SN"
897078,"vegetables","tomato","tomato cherry","SN","I","4","tch","kilogram",2405,6,"R TCH 20-25GEN 4KG FK410 PKB 6SN"
897079,"vegetables","tomato","tomato cherry","SN","II","4","tch","kilogram",2405,5,"R TCH 20-25GEN 4KG FK410 PKB 5SN"
897175,"vegetables","tomato","tomato cherry","ES","I","6","tch","400 gram",1580,8,"TCH PRUEDPL 6X400 EMM16 KKG415 EP ED 8ES"
897211,"vegetables","pepper","pepper special","ES","I","2","peper","kilogram",2422,8,"PEPER GRPOBL 2KG DV D410PT PKB 8ES"
897212,"vegetables","pepper","pepper special","ES","I","4","peper","kilogram",2422,8,"PEPER GRPOBL 4KG D421GZ PKB 8ES"
897213,"vegetables","pepper","pepper special","NL","I","2","peper","kilogram",1485,8,"PEPER GRPOBL 2KG DV D410PT PKB 8NL"
897214,"vegetables","pepper","pepper special","NL","I","4","peper","kilogram",1485,8,"PEPER GRPOBL 4KG D421GZ PKB 8NL"
897215,"vegetables","vegetable mix","vegetable mix","EN","I","6","vgmx","350 gram",2415,8,"VVVGMX SN PAKKTO 6X350EMM01KKZ416BPR DR8"
897231,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT MID 5KG D414GZ EP GB A8 8NL"
897232,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT MID 5KG D414GZ DD GB A8 8NL"
897233,"vegetables","tomato","tomato vine","NL","I","8","trt","1 kilogram",1185,8,"VVTRT MID 8X1KG SPUZ IB615A DD GB A8 8NL"
897234,"vegetables","tomato","tomato vine","NL","I","8","trt","1 kilogram",1185,8,"VVTRT MID 8X1KG SPUZ IB615A EP GB A8 8NL"
897248,"vegetables","tomato","tomato plum","NL","I","10","tpr","500 gram",1500,8,"VVTPR 47-57 10X500 SZWFP KKG610 EP ED 8N"
897250,"vegetables","tomato","tomato big","MA","I","7","tomvl","kilogram",1192,8,"VVTOMVL GG 7KG KKG610 EP ED 8MA"
897260,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRGRVI 5KG FK414 EP 8NL"
897261,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRJAPO 5KG FK414 EP 8NL"
897262,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRJOE 5KG FK414 EP 8NL"
897263,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRJOYC 5KG FK414 EP 8NL"
897264,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRSTLB 5KG FK414 EP 8NL"
897265,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRROVI 5KG FK414 EP 8NL"
897266,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRESGR 5KG FK414 EP 8NL"
897267,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRCLEO 5KG FK414 EP 8NL"
897268,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRPROM 5KG FK414 EP 8NL"
897269,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRCAPR 5KG FK414 EP 8NL"
897270,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRDTOM 5KG FK414 EP 8NL"
897271,"vegetables","tomato","tomato vine","NL","I","5","trt","kilogram",1185,8,"VVTRT GRPCES 5KG FK414 EP 8NL"
897335,"vegetables","cucumber","cucumber straight","NL","I","22","kk","stuks",1085,8,"VVKK 40-50G 22ST KKG613 EP GB A5 8NL"
897339,"vegetables","tomato","tomato cherry","ES","I","4","tch","kilogram",2405,7,"R TCH PRU 20-25ACRE SANT 4KG FK410PKB7ES"
897340,"vegetables","tomato","tomato cherry","ES","I","4","tch","kilogram",2405,6,"R TCH PRU 20-25ACRE SANT 4KG FK410PKB6ES"
897341,"vegetables","tomato","tomato cherry","ES","II","4","tch","kilogram",2405,5,"R TCH PRU 20-25ACRE SANT 4KG FK410PKB5ES"
897342,"vegetables","tomato","tomato cherry","ES","I","4","tch","kilogram",2405,7,"R TCH PRU 25-30ACRE SANT 4KG FK410PKB7ES"
897343,"vegetables","tomato","tomato cherry","ES","I","4","tch","kilogram",2405,6,"R TCH PRU 25-30ACRE SANT 4KG FK410PKB6ES"
897344,"vegetables","tomato","tomato cherry","ES","II","4","tch","kilogram",2405,5,"R TCH PRU 25-30ACRE SANT 4KG FK410PKB5ES"
897345,"vegetables","tomato","tomato cherry","ES","I","4","tch","kilogram",2405,7,"R TCH PRU 30-35ACRE SANT 4KG FK410PKB7ES"
897346,"vegetables","tomato","tomato cherry","ES","I","4","tch","kilogram",2405,6,"R TCH PRU 30-35ACRE SANT 4KG FK410PKB6ES"
897347,"vegetables","tomato","tomato cherry","ES","II","4","tch","kilogram",2405,5,"R TCH PRU 30-35ACRE SANT 4KG FK410PKB5ES"
897348,"vegetables","cucumber","cucumber straight","ES","I","16","kk","stuks",2413,7,"R KK 25-30GPONI 16ST SEAFK FK411 EP 7ES"
897349,"vegetables","cucumber","cucumber straight","ES","I","16","kk","stuks",2413,6,"R KK 25-30GPONI 16ST SEAFK FK411 EP 6ES"
897350,"vegetables","cucumber","cucumber straight","ES","II","16","kk","stuks",2413,5,"R KK 25-30GPONI 16ST SEAFK FK411 EP 5ES"
897351,"vegetables","cucumber","cucumber straight","ES","I","14","kk","stuks",2413,7,"R KK 30-35GPONI 14ST SEAFK FK411 EP 7ES"
897352,"vegetables","cucumber","cucumber straight","ES","I","14","kk","stuks",2413,6,"R KK 30-35GPONI 14ST SEAFK FK411 EP 6ES"
897353,"vegetables","cucumber","cucumber straight","ES","II","14","kk","stuks",2413,5,"R KK 30-35GPONI 14ST SEAFK FK411 EP 5ES"
897354,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",2413,7,"R KK 35-40GPONI 12ST SEAFK FK411 EP 7ES"
897355,"vegetables","cucumber","cucumber straight","ES","I","12","kk","stuks",2413,6,"R KK 35-40GPONI 12ST SEAFK FK411 EP 6ES"
897356,"vegetables","cucumber","cucumber straight","ES","II","12","kk","stuks",2413,5,"R KK 35-40GPONI 12ST SEAFK FK411 EP 5ES"
897357,"vegetables","tomato","tomato cherry","SN","I","7","tch","400 gram",1580,8,"TCH PRUZWE 7X400 EMMER D414TZ EP 8SN"
897358,"vegetables","tomato","tomato cherry","EU","I","10","tch","350 gram",1580,8,"VVTCH MX 4KL 10X350 STRFP KKG613 EP AB 8"
897359,"vegetables","paprika","paprika small","ES","I","5","pap","kilogram",2417,7,"R PAP RD GGACRE 5KG FK420 PKE 7ES"
897360,"vegetables","paprika","paprika small","ES","I","5","pap","kilogram",2417,6,"R PAP RD GGACRE 5KG FK420 PKE 6ES"
897361,"vegetables","paprika","paprika small","ES","II","5","pap","kilogram",2417,5,"R PAP RD GGACRE 5KG FK420 PKE 5ES"
897362,"vegetables","paprika","paprika small","ES","I","9","pap","450 gram",2417,7,"VVR PAP MX ROORGE 9X450 FP KKZ613 BPRJU7"
897363,"vegetables","paprika","paprika small","ES","I","9","pap","450 gram",2417,7,"VVR PAP MX ROGERO 9X450 FP KKZ613 BPRJU7"
