"Article","Product_hier_1","Product_hier_2","Product_hier_3","Country_of_origin","Class","Contents","Crop","Consumer_unit","Price_group","Quality","Item_description"
813522,"soft fruits","raspberry","raspberry","MA","I","12","fram","125 gram",2805,8,"VVR FRAM 12X125 SKOD FK411 PKB 8MA"
813523,"soft fruits","raspberry","raspberry","PT","I","8","fram","125 gram",2805,8,"VVR FRAM 8X125 SKOD FK411 PKB 8PT"
813524,"soft fruits","raspberry","raspberry","ES","I","10","fram","250 gram",2805,6,"VVFRAM 10X250 SKOD FK607 PKB 6ES"
813525,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 35SON 8X500 SKO FK512H PKB GL A1 7"
813526,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 30SON 8X500 SKO FK512H PKB GL A1 7"
813527,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 27SON 8X500 SKO FK512H PKB GL A1 7"
813528,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 35ELS 8X500 SKO FK512H PKB GL A1 7"
813529,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 30ELS 8X500 SKO FK512H PKB GL A1 7"
813530,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 27ELS 8X500 SKO FK512H PKB GL A1 7"
813531,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 35SON 8X500 SKO FK512H PKB GL 7NL"
813532,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 30SON 8X500 SKO FK512H PKB GL 7NL"
813533,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 27SON 8X500 SKO FK512H PKB GL 7NL"
813534,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"ARB 35ELS 8X500 SKO FK512H PKB GL 7NL"
813535,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 30ELS 8X500 SKO FK512H PKB GL 7NL"
813536,"soft fruits","strawberry","strawberry","NL","I","8","arb","500 gram",1330,7,"VVARB 27ELS 8X500 SKO FK512H PKB GL 7NL"
813760,"soft fruits","blackberry","blackberry","NL","I","12","braa","125 gram",1375,9,"VVBRAAINCE 12X125 SKRT DZ407M DPA 9NL"
813761,"soft fruits","blackberry","blackberry","NL","I","12","braa","125 gram",1375,7,"VVBRAALOCT 12X125 SKRT DZ407M DPA 7NL"
